Phi[deg],Theta[deg],im(rEPhi)[mV],re(rEPhi)[mV],re(rETheta)[mV],im(rETheta)[mV]
-60,0,-21.2736,-12.116,3.76352,6.25119
-59,0,-21.3795,-12.1798,3.5515,5.87896
-58,0,-21.4788,-12.2399,3.33839,5.50494
-57,0,-21.5716,-12.2963,3.12427,5.12925
-56,0,-21.6578,-12.349,2.90919,4.75199
-55,0,-21.7375,-12.3979,2.69323,4.37329
-54,0,-21.8105,-12.443,2.47645,3.99325
-53,0,-21.8769,-12.4843,2.25891,3.612
-52,0,-21.9366,-12.5218,2.04068,3.22964
-51,0,-21.9896,-12.5555,1.82184,2.8463
-50,0,-22.0359,-12.5854,1.60243,2.4621
-49,0,-22.0755,-12.6115,1.38254,2.07715
-48,0,-22.1084,-12.6337,1.16223,1.69156
-47,0,-22.1346,-12.652,0.941569,1.30545
-46,0,-22.154,-12.6665,0.720617,0.918955
-45,0,-22.1666,-12.6772,0.499446,0.532174
-44,0,-22.1726,-12.684,0.278123,0.145232
-43,0,-22.1717,-12.6869,0.0567145,-0.241755
-42,0,-22.1641,-12.6859,-0.164711,-0.628667
-41,0,-22.1498,-12.6811,-0.386086,-1.01539
-40,0,-22.1287,-12.6725,-0.607344,-1.4018
-39,0,-22.1008,-12.6599,-0.828416,-1.78779
-38,0,-22.0663,-12.6436,-1.04924,-2.17323
-37,0,-22.025,-12.6233,-1.26974,-2.55801
-36,0,-21.977,-12.5992,-1.48985,-2.942
-35,0,-21.9223,-12.5713,-1.70951,-3.32511
-34,0,-21.8609,-12.5396,-1.92865,-3.7072
-33,0,-21.7929,-12.504,-2.1472,-4.08816
-32,0,-21.7182,-12.4646,-2.3651,-4.46788
-31,0,-21.6369,-12.4214,-2.58228,-4.84623
-30,0,-21.5491,-12.3745,-2.79867,-5.22311
-29,0,-21.4546,-12.3238,-3.01421,-5.5984
-28,0,-21.3537,-12.2693,-3.22883,-5.97198
-27,0,-21.2462,-12.2111,-3.44246,-6.34374
-26,0,-21.1322,-12.1491,-3.65505,-6.71357
-25,0,-21.0118,-12.0835,-3.86653,-7.08136
-24,0,-20.8851,-12.0142,-4.07682,-7.44699
-23,0,-20.7519,-11.9412,-4.28588,-7.81035
-22,0,-20.6124,-11.8646,-4.49363,-8.17133
-21,0,-20.4667,-11.7843,-4.70001,-8.52982
-20,0,-20.3147,-11.7005,-4.90496,-8.88572
-19,0,-20.1565,-11.6131,-5.10841,-9.2389
-18,0,-19.9922,-11.5222,-5.31031,-9.58928
-17,0,-19.8218,-11.4278,-5.51059,-9.93673
-16,0,-19.6454,-11.3298,-5.70919,-10.2812
-15,0,-19.463,-11.2285,-5.90606,-10.6224
-14,0,-19.2746,-11.1237,-6.10112,-10.9605
-13,0,-19.0804,-11.0155,-6.29433,-11.2952
-12,0,-18.8804,-10.904,-6.48562,-11.6265
-11,0,-18.6746,-10.7891,-6.67493,-11.9542
-10,0,-18.4631,-10.671,-6.86221,-12.2783
-9,0,-18.246,-10.5496,-7.0474,-12.5987
-8,0,-18.0233,-10.425,-7.23044,-12.9152
-7,0,-17.7952,-10.2972,-7.41128,-13.2278
-6,0,-17.5616,-10.1663,-7.58987,-13.5363
-5,0,-17.3227,-10.0323,-7.76614,-13.8408
-4,0,-17.0785,-9.89526,-7.94004,-14.141
-3,0,-16.8291,-9.75518,-8.11153,-14.4369
-2,0,-16.5746,-9.61212,-8.28055,-14.7284
-1,0,-16.315,-9.46615,-8.44704,-15.0154
0,0,-16.0505,-9.31728,-8.61096,-15.2979
1,0,-15.7811,-9.16558,-8.77226,-15.5757
2,0,-15.5068,-9.01109,-8.93088,-15.8487
3,0,-15.2279,-8.85385,-9.08679,-16.1169
4,0,-14.9443,-8.69392,-9.23992,-16.3802
5,0,-14.6561,-8.53133,-9.39025,-16.6386
6,0,-14.3635,-8.36615,-9.53771,-16.8918
7,0,-14.0665,-8.19842,-9.68227,-17.1399
8,0,-13.7652,-8.02819,-9.82387,-17.3828
9,0,-13.4598,-7.85552,-9.96249,-17.6204
10,0,-13.1502,-7.68045,-10.0981,-17.8526
