Phi[deg],Theta[deg],im(rEPhi)[mV],re(rEPhi)[mV],re(rETheta)[mV],im(rETheta)[mV]
101,52,-3.9011,12.3314,-571.118,-7033.17
102,52,-4.03883,12.3839,-569.375,-7032.28
103,52,-4.16025,12.4231,-567.631,-7031.4
104,52,-4.26487,12.4488,-565.889,-7030.53
105,52,-4.35226,12.4608,-564.15,-7029.67
106,52,-4.42207,12.4591,-562.415,-7028.82
107,52,-4.474,12.4435,-560.685,-7027.97
108,52,-4.50781,12.414,-558.963,-7027.13
109,52,-4.52333,12.3707,-557.249,-7026.3
110,52,-4.52048,12.3138,-555.545,-7025.47
111,52,-4.49921,12.2433,-553.852,-7024.64
112,52,-4.45956,12.1596,-552.172,-7023.83
113,52,-4.40163,12.0628,-550.506,-7023.01
114,52,-4.32559,11.9534,-548.856,-7022.2
115,52,-4.23169,11.8318,-547.222,-7021.39
116,52,-4.12021,11.6984,-545.607,-7020.58
117,52,-3.99152,11.5538,-544.011,-7019.78
118,52,-3.84604,11.3985,-542.435,-7018.98
119,52,-3.68426,11.2332,-540.882,-7018.18
120,52,-3.50672,11.0585,-539.352,-7017.39
121,52,-3.31399,10.8752,-537.846,-7016.59
122,52,-3.10674,10.684,-536.365,-7015.8
123,52,-2.88564,10.4859,-534.911,-7015.01
124,52,-2.65143,10.2815,-533.485,-7014.23
125,52,-2.40487,10.0719,-532.087,-7013.44
126,52,-2.14678,9.85794,-530.719,-7012.66
127,52,-1.87798,9.64054,-529.381,-7011.88
128,52,-1.59935,9.42069,-528.074,-7011.11
129,52,-1.31177,9.19935,-526.799,-7010.34
130,52,-1.01615,8.97752,-525.556,-7009.57
131,52,-0.713399,8.7562,-524.347,-7008.81
132,52,-0.404449,8.53636,-523.173,-7008.05
133,52,-0.0902295,8.31901,-522.032,-7007.3
134,52,0.228327,8.1051,-520.927,-7006.56
135,52,0.550294,7.89559,-519.857,-7005.83
136,52,0.874754,7.69142,-518.822,-7005.1
137,52,1.2008,7.49348,-517.824,-7004.38
138,52,1.52755,7.30266,-516.863,-7003.68
139,52,1.85413,7.11977,-515.937,-7002.98
140,52,2.17969,6.94561,-515.049,-7002.3
141,52,2.50343,6.78091,-514.197,-7001.63
142,52,2.82456,6.62637,-513.382,-7000.98
143,52,3.14233,6.48261,-512.604,-7000.34
144,52,3.45602,6.35021,-511.863,-6999.72
145,52,3.76496,6.22969,-511.159,-6999.11
146,52,4.06851,6.12148,-510.49,-6998.52
147,52,4.36609,6.02596,-509.859,-6997.96
148,52,4.65715,5.94346,-509.263,-6997.41
149,52,4.94117,5.8742,-508.703,-6996.88
150,52,5.21772,5.81835,-508.178,-6996.38
151,52,5.48637,5.77602,-507.689,-6995.9
152,52,5.74676,5.74723,-507.234,-6995.45
153,52,5.99857,5.73194,-506.814,-6995.02
154,52,6.24154,5.73003,-506.428,-6994.61
155,52,6.47544,5.74132,-506.075,-6994.24
156,52,6.70008,5.76557,-505.755,-6993.89
157,52,6.91534,5.80245,-505.467,-6993.57
158,52,7.12111,5.85159,-505.211,-6993.28
159,52,7.31734,5.91256,-504.987,-6993.02
160,52,7.50401,5.98486,-504.794,-6992.79
161,52,7.68115,6.06796,-504.63,-6992.59
162,52,7.84881,6.16126,-504.497,-6992.43
163,52,8.00708,6.26411,-504.392,-6992.29
164,52,8.15608,6.37585,-504.316,-6992.19
165,52,8.29595,6.49575,-504.267,-6992.12
166,52,8.42688,6.62307,-504.246,-6992.08
167,52,8.54904,6.75702,-504.251,-6992.08
168,52,8.66267,6.89679,-504.282,-6992.11
169,52,8.76799,7.04157,-504.338,-6992.17
170,52,8.86526,7.19051,-504.418,-6992.27
171,52,8.95473,7.34275,-504.522,-6992.4
172,52,9.03669,7.49744,-504.649,-6992.56
173,52,9.11141,7.65371,-504.798,-6992.76
174,52,9.17919,7.81068,-504.969,-6992.99
175,52,9.2403,7.96749,-505.16,-6993.25
176,52,9.29506,8.12329,-505.372,-6993.54
177,52,9.34375,8.27722,-505.602,-6993.86
178,52,9.38666,8.42845,-505.851,-6994.22
179,52,9.42409,8.57615,-506.118,-6994.6
180,52,9.4563,8.71953,-506.401,-6995.01
-180,53,9.3849,8.75754,-518.904,-7116.59
-179,53,9.42576,8.89035,-519.227,-7117.04
-178,53,9.46215,9.01708,-519.566,-7117.52
-177,53,9.4943,9.13702,-519.922,-7118.03
-176,53,9.52245,9.2495,-520.292,-7118.57
-175,53,9.54683,9.35388,-520.677,-7119.13
-174,53,9.56765,9.44956,-521.075,-7119.72
-173,53,9.58509,9.53594,-521.485,-7120.34
-172,53,9.59932,9.61249,-521.906,-7120.97
-171,53,9.61051,9.67869,-522.337,-7121.64
-170,53,9.61878,9.73409,-522.778,-7122.32
-169,53,9.62426,9.77825,-523.227,-7123.02
-168,53,9.62704,9.81078,-523.683,-7123.75
-167,53,9.6272,9.83131,-524.146,-7124.49
-166,53,9.6248,9.83955,-524.615,-7125.25
-165,53,9.61987,9.83521,-525.087,-7126.03
-164,53,9.61244,9.81807,-525.564,-7126.82
-163,53,9.6025,9.78794,-526.043,-7127.63
-162,53,9.59003,9.74467,-526.524,-7128.45
-161,53,9.57498,9.68816,-527.005,-7129.28
-160,53,9.55729,9.61836,-527.487,-7130.13
-159,53,9.53689,9.53524,-527.967,-7130.99
-158,53,9.51366,9.43884,-528.446,-7131.85
-157,53,9.48748,9.32922,-528.922,-7132.73
-156,53,9.45823,9.2065,-529.395,-7133.61
-155,53,9.42575,9.07084,-529.864,-7134.5
-154,53,9.38986,8.92244,-530.328,-7135.4
-153,53,9.35039,8.76155,-530.786,-7136.3
-152,53,9.30714,8.58845,-531.238,-7137.2
-151,53,9.25989,8.40346,-531.684,-7138.11
-150,53,9.20842,8.20696,-532.122,-7139.02
-149,53,9.1525,7.99936,-532.552,-7139.93
-148,53,9.09189,7.78111,-532.975,-7140.84
-147,53,9.02633,7.55268,-533.388,-7141.75
-146,53,8.95557,7.3146,-533.793,-7142.65
-145,53,8.87936,7.06742,-534.188,-7143.56
-144,53,8.79743,6.81175,-534.574,-7144.46
-143,53,8.70951,6.54818,-534.95,-7145.36
-142,53,8.61535,6.27737,-535.317,-7146.25
-141,53,8.51468,6,-535.673,-7147.14
-140,53,8.40726,5.71676,-536.019,-7148.03
-139,53,8.29283,5.42838,-536.355,-7148.9
-138,53,8.17115,5.13559,-536.681,-7149.77
-137,53,8.04199,4.83915,-536.997,-7150.63
-136,53,7.90514,4.53982,-537.304,-7151.49
-135,53,7.76039,4.23839,-537.601,-7152.33
-134,53,7.60755,3.93565,-537.889,-7153.17
-133,53,7.44645,3.63238,-538.167,-7153.99
-132,53,7.27695,3.32937,-538.438,-7154.81
-131,53,7.0989,3.02741,-538.699,-7155.61
-130,53,6.9122,2.72729,-538.953,-7156.41
-129,53,6.71677,2.42979,-539.2,-7157.19
-128,53,6.51255,2.13565,-539.44,-7157.96
-127,53,6.2995,1.84564,-539.673,-7158.72
-126,53,6.07762,1.56049,-539.901,-7159.47
-125,53,5.84694,1.2809,-540.124,-7160.2
-124,53,5.6075,1.00755,-540.342,-7160.93
-123,53,5.35939,0.741109,-540.556,-7161.64
-122,53,5.10272,0.482205,-540.767,-7162.33
-121,53,4.83765,0.231432,-540.975,-7163.02
-120,53,4.56436,-0.0106443,-541.182,-7163.69
-119,53,4.28304,-0.243499,-541.388,-7164.35
-118,53,3.99396,-0.466644,-541.593,-7165
-117,53,3.69738,-0.679631,-541.799,-7165.63
-116,53,3.39362,-0.882056,-542.006,-7166.25
-115,53,3.08302,-1.07356,-542.215,-7166.86
-114,53,2.76595,-1.25382,-542.427,-7167.46
-113,53,2.44283,-1.42257,-542.643,-7168.04
-112,53,2.11409,-1.57958,-542.863,-7168.61
-111,53,1.7802,-1.72469,-543.087,-7169.17
-110,53,1.44165,-1.85776,-543.318,-7169.72
-109,53,1.09898,-1.97873,-543.555,-7170.26
-108,53,0.752746,-2.08755,-543.799,-7170.79
-107,53,0.403523,-2.18425,-544.051,-7171.31
-106,53,0.0519221,-2.26891,-544.312,-7171.81
-105,53,-0.301423,-2.34165,-544.582,-7172.31
-104,53,-0.655857,-2.40262,-544.862,-7172.8
-103,53,-1.0107,-2.45206,-545.152,-7173.28
-102,53,-1.36526,-2.49022,-545.453,-7173.75
-101,53,-1.71881,-2.51741,-545.766,-7174.22
-100,53,-2.07062,-2.53399,-546.091,-7174.68
-99,53,-2.41994,-2.54036,-546.428,-7175.13
-98,53,-2.76601,-2.53696,-546.778,-7175.57
-97,53,-3.10804,-2.52427,-547.141,-7176.02
-96,53,-3.44527,-2.50282,-547.517,-7176.45
-95,53,-3.77688,-2.47315,-547.908,-7176.89
-94,53,-4.10208,-2.43586,-548.312,-7177.32
-93,53,-4.42007,-2.39158,-548.731,-7177.74
-92,53,-4.73004,-2.34096,-549.165,-7178.17
-91,53,-5.0312,-2.28469,-549.613,-7178.59
-90,53,-5.32273,-2.22346,-550.075,-7179.01
-89,53,-5.60384,-2.15802,-550.553,-7179.44
-88,53,-5.87375,-2.0891,-551.045,-7179.86
-87,53,-6.13169,-2.01747,-551.552,-7180.29
-86,53,-6.37688,-1.9439,-552.074,-7180.71
-85,53,-6.6086,-1.86917,-552.61,-7181.14
-84,53,-6.8261,-1.79408,-553.161,-7181.58
-83,53,-7.0287,-1.71941,-553.726,-7182.01
-82,53,-7.21571,-1.64595,-554.306,-7182.45
-81,53,-7.38648,-1.57447,-554.899,-7182.9
-80,53,-7.54041,-1.50575,-555.506,-7183.35
-79,53,-7.67691,-1.44053,-556.127,-7183.8
-78,53,-7.79544,-1.37956,-556.76,-7184.26
-77,53,-7.89549,-1.32354,-557.407,-7184.73
-76,53,-7.97662,-1.27317,-558.065,-7185.2
-75,53,-8.03841,-1.22909,-558.737,-7185.68
-74,53,-8.08051,-1.19192,-559.42,-7186.17
-73,53,-8.1026,-1.16226,-560.114,-7186.66
-72,53,-8.10445,-1.14062,-560.819,-7187.16
-71,53,-8.08585,-1.12752,-561.535,-7187.67
-70,53,-8.04669,-1.12339,-562.262,-7188.19
-69,53,-7.98689,-1.12863,-562.998,-7188.71
-68,53,-7.90645,-1.14357,-563.744,-7189.24
-67,53,-7.80543,-1.1685,-564.499,-7189.78
-66,53,-7.68398,-1.20364,-565.262,-7190.33
-65,53,-7.5423,-1.24914,-566.034,-7190.88
-64,53,-7.38066,-1.3051,-566.813,-7191.44
-63,53,-7.1994,-1.37155,-567.6,-7192
-62,53,-6.99894,-1.44847,-568.394,-7192.58
-61,53,-6.77976,-1.53575,-569.194,-7193.16
-60,53,-6.54243,-1.63323,-570,-7193.74
-59,53,-6.28756,-1.74069,-570.813,-7194.33
-58,53,-6.01586,-1.85782,-571.63,-7194.93
-57,53,-5.72807,-1.98428,-572.452,-7195.53
-56,53,-5.42503,-2.11964,-573.279,-7196.13
-55,53,-5.1076,-2.26344,-574.11,-7196.74
-54,53,-4.77674,-2.41515,-574.945,-7197.35
-53,53,-4.43342,-2.57417,-575.783,-7197.97
-52,53,-4.0787,-2.73989,-576.624,-7198.59
-51,53,-3.71367,-2.91161,-577.467,-7199.21
-50,53,-3.33945,-3.08862,-578.313,-7199.83
-49,53,-2.9572,-3.27016,-579.161,-7200.46
-48,53,-2.56813,-3.45543,-580.01,-7201.08
-47,53,-2.17346,-3.64363,-580.86,-7201.71
-46,53,-1.77441,-3.83389,-581.712,-7202.34
-45,53,-1.37226,-4.02537,-582.564,-7202.97
-44,53,-0.968253,-4.21718,-583.416,-7203.6
-43,53,-0.563659,-4.40844,-584.268,-7204.22
-42,53,-0.159734,-4.59827,-585.12,-7204.85
-41,53,0.242275,-4.78578,-585.971,-7205.48
-40,53,0.64114,-4.97011,-586.822,-7206.1
-39,53,1.03566,-5.15038,-587.671,-7206.72
-38,53,1.42464,-5.32575,-588.52,-7207.35
-37,53,1.80697,-5.49541,-589.367,-7207.97
-36,53,2.18153,-5.65856,-590.213,-7208.58
-35,53,2.54727,-5.81443,-591.057,-7209.2
-34,53,2.90319,-5.9623,-591.899,-7209.81
-33,53,3.24835,-6.10149,-592.739,-7210.42
-32,53,3.58186,-6.23134,-593.578,-7211.03
-31,53,3.90291,-6.35126,-594.414,-7211.64
-30,53,4.21074,-6.46069,-595.249,-7212.24
-29,53,4.50468,-6.55914,-596.082,-7212.85
-28,53,4.78412,-6.64616,-596.913,-7213.45
-27,53,5.04854,-6.72136,-597.742,-7214.04
-26,53,5.29748,-6.78439,-598.569,-7214.63
-25,53,5.53058,-6.83497,-599.395,-7215.22
-24,53,5.74755,-6.87288,-600.219,-7215.81
-23,53,5.94818,-6.89795,-601.042,-7216.4
-22,53,6.13234,-6.91006,-601.863,-7216.98
-21,53,6.29999,-6.90917,-602.684,-7217.55
-20,53,6.45117,-6.89525,-603.503,-7218.13
-19,53,6.58597,-6.86837,-604.322,-7218.7
-18,53,6.70458,-6.82862,-605.141,-7219.26
-17,53,6.80726,-6.77617,-605.959,-7219.82
-16,53,6.89434,-6.71121,-606.778,-7220.38
-15,53,6.9662,-6.63398,-607.596,-7220.93
-14,53,7.0233,-6.54478,-608.415,-7221.48
-13,53,7.06616,-6.44394,-609.235,-7222.02
-12,53,7.09533,-6.33184,-610.055,-7222.55
-11,53,7.11145,-6.20888,-610.876,-7223.07
-10,53,7.11517,-6.0755,-611.698,-7223.59
-9,53,7.1072,-5.93217,-612.522,-7224.1
-8,53,7.08827,-5.77939,-613.346,-7224.6
-7,53,7.05917,-5.61769,-614.172,-7225.1
-6,53,7.02068,-5.44761,-615,-7225.58
-5,53,6.97363,-5.26971,-615.828,-7226.05
-4,53,6.91885,-5.08459,-616.658,-7226.51
-3,53,6.85718,-4.89283,-617.489,-7226.95
-2,53,6.78947,-4.69504,-618.321,-7227.39
-1,53,6.71658,-4.49183,-619.154,-7227.8
0,53,6.63934,-4.28383,-619.987,-7228.21
1,53,6.55861,-4.07164,-620.821,-7228.59
2,53,6.4752,-3.8559,-621.654,-7228.96
3,53,6.38992,-3.63722,-622.487,-7229.31
4,53,6.30355,-3.41621,-623.318,-7229.64
5,53,6.21687,-3.19348,-624.148,-7229.95
6,53,6.13059,-2.96963,-624.976,-7230.24
7,53,6.04542,-2.74523,-625.801,-7230.51
8,53,5.96202,-2.52086,-626.622,-7230.75
9,53,5.88101,-2.29707,-627.439,-7230.97
10,53,5.80299,-2.0744,-628.25,-7231.17
11,53,5.72849,-1.85335,-629.056,-7231.34
12,53,5.65799,-1.63442,-629.855,-7231.48
13,53,5.59196,-1.41808,-630.645,-7231.59
14,53,5.53079,-1.20475,-631.427,-7231.67
15,53,5.47482,-0.994856,-632.199,-7231.73
16,53,5.42435,-0.788776,-632.959,-7231.75
17,53,5.37962,-0.586859,-633.707,-7231.74
18,53,5.34082,-0.389422,-634.442,-7231.7
19,53,5.30809,-0.196747,-635.163,-7231.63
20,53,5.28152,-0.00908106,-635.868,-7231.53
21,53,5.26112,0.173365,-636.556,-7231.39
22,53,5.24689,0.35042,-637.225,-7231.21
23,53,5.23874,0.521947,-637.876,-7231.01
24,53,5.23655,0.68785,-638.505,-7230.76
25,53,5.24014,0.848074,-639.113,-7230.48
26,53,5.2493,1.0026,-639.698,-7230.17
27,53,5.26375,1.15145,-640.258,-7229.82
28,53,5.28317,1.29469,-640.794,-7229.43
29,53,5.3072,1.43241,-641.302,-7229.01
30,53,5.33545,1.56476,-641.783,-7228.56
31,53,5.36747,1.69191,-642.234,-7228.06
32,53,5.40279,1.81406,-642.656,-7227.53
33,53,5.44089,1.93148,-643.047,-7226.97
34,53,5.48125,2.04443,-643.405,-7226.37
35,53,5.52328,2.15323,-643.73,-7225.73
36,53,5.56639,2.25822,-644.021,-7225.07
37,53,5.60997,2.35976,-644.277,-7224.36
38,53,5.65338,2.45824,-644.497,-7223.63
39,53,5.69597,2.55408,-644.681,-7222.86
40,53,5.73709,2.64772,-644.826,-7222.06
41,53,5.77606,2.73959,-644.934,-7221.23
42,53,5.8122,2.83016,-645.002,-7220.36
43,53,5.84484,2.91991,-645.031,-7219.47
44,53,5.87332,3.0093,-645.02,-7218.55
45,53,5.89696,3.09882,-644.968,-7217.6
46,53,5.91511,3.18894,-644.874,-7216.63
47,53,5.92712,3.28015,-644.739,-7215.63
48,53,5.93237,3.37291,-644.562,-7214.6
49,53,5.93026,3.46767,-644.343,-7213.56
50,53,5.92021,3.56488,-644.081,-7212.48
51,53,5.90166,3.66497,-643.777,-7211.39
52,53,5.8741,3.76833,-643.429,-7210.28
53,53,5.83703,3.87535,-643.039,-7209.15
54,53,5.79002,3.98638,-642.605,-7208
55,53,5.73265,4.10174,-642.128,-7206.84
56,53,5.66456,4.22172,-641.608,-7205.66
57,53,5.58542,4.34658,-641.046,-7204.47
58,53,5.49497,4.47655,-640.44,-7203.26
59,53,5.39297,4.6118,-639.792,-7202.05
60,53,5.27927,4.75248,-639.102,-7200.82
61,53,5.15374,4.89869,-638.37,-7199.59
62,53,5.01633,5.05049,-637.596,-7198.35
63,53,4.86702,5.2079,-636.781,-7197.1
64,53,4.70586,5.37088,-635.926,-7195.85
65,53,4.53297,5.53938,-635.03,-7194.6
66,53,4.34851,5.71327,-634.094,-7193.34
67,53,4.1527,5.8924,-633.119,-7192.09
68,53,3.94583,6.07658,-632.106,-7190.83
69,53,3.72823,6.26555,-631.055,-7189.58
70,53,3.50031,6.45904,-629.967,-7188.33
71,53,3.2625,6.65673,-628.842,-7187.08
72,53,3.01533,6.85826,-627.682,-7185.84
73,53,2.75934,7.06322,-626.487,-7184.61
74,53,2.49515,7.2712,-625.258,-7183.38
75,53,2.22342,7.48172,-623.996,-7182.16
76,53,1.94484,7.69429,-622.702,-7180.95
77,53,1.66016,7.90839,-621.377,-7179.75
78,53,1.37018,8.12348,-620.022,-7178.56
79,53,1.07572,8.33897,-618.637,-7177.38
80,53,0.777649,8.55428,-617.224,-7176.21
81,53,0.47685,8.7688,-615.784,-7175.06
82,53,0.174248,8.9819,-614.318,-7173.91
83,53,-0.129212,9.19294,-612.827,-7172.78
84,53,-0.432567,9.40128,-611.312,-7171.67
85,53,-0.734834,9.60625,-609.775,-7170.57
86,53,-1.03502,9.80721,-608.216,-7169.48
87,53,-1.33213,10.0035,-606.637,-7168.4
88,53,-1.62515,10.1944,-605.038,-7167.34
89,53,-1.91309,10.3794,-603.422,-7166.3
90,53,-2.19494,10.5577,-601.789,-7165.26
91,53,-2.46972,10.7288,-600.141,-7164.25
92,53,-2.73645,10.892,-598.479,-7163.24
93,53,-2.99418,11.0467,-596.805,-7162.25
94,53,-3.24197,11.1924,-595.118,-7161.28
95,53,-3.47893,11.3284,-593.422,-7160.31
96,53,-3.70417,11.4543,-591.716,-7159.36
97,53,-3.91685,11.5696,-590.004,-7158.42
98,53,-4.11617,11.6737,-588.285,-7157.5
99,53,-4.30139,11.7663,-586.561,-7156.58
100,53,-4.47177,11.847,-584.834,-7155.68
101,53,-4.62667,11.9153,-583.104,-7154.79
102,53,-4.76548,11.9711,-581.374,-7153.9
103,53,-4.88763,12.014,-579.645,-7153.03
104,53,-4.99264,12.0437,-577.918,-7152.16
105,53,-5.08007,12.0603,-576.194,-7151.31
106,53,-5.14955,12.0634,-574.475,-7150.46
107,53,-5.20077,12.0531,-572.762,-7149.62
108,53,-5.2335,12.0293,-571.056,-7148.78
109,53,-5.24755,11.9921,-569.36,-7147.95
110,53,-5.24283,11.9416,-567.673,-7147.13
111,53,-5.21929,11.8779,-565.998,-7146.31
112,53,-5.17698,11.8013,-564.336,-7145.49
113,53,-5.11599,11.7121,-562.689,-7144.68
114,53,-5.03649,11.6106,-561.056,-7143.87
115,53,-4.93872,11.4971,-559.44,-7143.07
116,53,-4.82298,11.3721,-557.843,-7142.26
117,53,-4.68964,11.2362,-556.264,-7141.46
118,53,-4.53912,11.0899,-554.706,-7140.67
119,53,-4.37192,10.9339,-553.169,-7139.87
120,53,-4.18858,10.7687,-551.656,-7139.07
121,53,-3.9897,10.5951,-550.165,-7138.28
122,53,-3.77594,10.4138,-548.7,-7137.49
123,53,-3.548,10.2257,-547.261,-7136.7
124,53,-3.30662,10.0316,-545.848,-7135.91
125,53,-3.05258,9.8324,-544.463,-7135.13
126,53,-2.78671,9.62893,-543.107,-7134.35
127,53,-2.50986,9.42214,-541.78,-7133.57
128,53,-2.22292,9.21299,-540.484,-7132.79
129,53,-1.92678,9.00242,-539.218,-7132.02
130,53,-1.62237,8.79142,-537.985,-7131.25
131,53,-1.31062,8.58094,-536.783,-7130.48
132,53,-0.992484,8.37197,-535.615,-7129.72
133,53,-0.668906,8.16547,-534.481,-7128.97
134,53,-0.340836,7.96239,-533.38,-7128.22
135,53,-0.00921817,7.76367,-532.314,-7127.48
136,53,0.325011,7.57023,-531.282,-7126.75
137,53,0.660931,7.38293,-530.286,-7126.03
138,53,0.997638,7.20264,-529.325,-7125.31
139,53,1.33425,7.03017,-528.4,-7124.61
140,53,1.66991,6.86628,-527.51,-7123.92
141,53,2.00378,6.7117,-526.657,-7123.25
142,53,2.33508,6.56708,-525.84,-7122.59
143,53,2.66304,6.43306,-525.058,-7121.94
144,53,2.98694,6.31017,-524.313,-7121.31
145,53,3.3061,6.19892,-523.604,-7120.7
146,53,3.61987,6.09972,-522.93,-7120.1
147,53,3.92766,6.01293,-522.293,-7119.53
148,53,4.22892,5.93886,-521.691,-7118.98
149,53,4.52314,5.87771,-521.124,-7118.44
150,53,4.80988,5.82964,-520.593,-7117.93
151,53,5.08871,5.79474,-520.097,-7117.45
152,53,5.35927,5.77299,-519.635,-7116.99
153,53,5.62126,5.76436,-519.207,-7116.55
154,53,5.87441,5.7687,-518.814,-7116.14
155,53,6.1185,5.78582,-518.454,-7115.76
156,53,6.35335,5.81546,-518.127,-7115.41
157,53,6.57884,5.85728,-517.833,-7115.09
158,53,6.79487,5.9109,-517.571,-7114.79
159,53,7.00141,5.97588,-517.342,-7114.53
160,53,7.19845,6.05171,-517.143,-7114.3
161,53,7.38602,6.13785,-516.976,-7114.1
162,53,7.56419,6.23368,-516.839,-7113.93
163,53,7.73305,6.33858,-516.732,-7113.79
164,53,7.89275,6.45186,-516.654,-7113.69
165,53,8.04342,6.57279,-516.606,-7113.62
166,53,8.18527,6.70064,-516.585,-7113.59
167,53,8.31849,6.83463,-516.592,-7113.58
168,53,8.44331,6.97394,-516.626,-7113.62
169,53,8.55997,7.11778,-516.687,-7113.68
170,53,8.66874,7.2653,-516.773,-7113.78
171,53,8.76989,7.41566,-516.885,-7113.91
172,53,8.86369,7.56802,-517.021,-7114.08
173,53,8.95043,7.72152,-517.181,-7114.28
174,53,9.03042,7.87531,-517.364,-7114.52
175,53,9.10394,8.02855,-517.569,-7114.78
176,53,9.1713,8.18039,-517.796,-7115.08
177,53,9.23278,8.33001,-518.043,-7115.41
178,53,9.28869,8.47661,-518.311,-7115.77
179,53,9.3393,8.61937,-518.598,-7116.17
180,53,9.3849,8.75754,-518.904,-7116.59
-180,54,9.316,8.78156,-531.376,-7236.5
-179,54,9.37079,8.90815,-531.722,-7236.96
-178,54,9.42132,9.02846,-532.087,-7237.45
-177,54,9.46782,9.14181,-532.47,-7237.97
-176,54,9.51053,9.24757,-532.869,-7238.51
-175,54,9.54965,9.34512,-533.283,-7239.09
-174,54,9.58539,9.43389,-533.713,-7239.69
-173,54,9.61793,9.51334,-534.156,-7240.31
-172,54,9.64743,9.58294,-534.612,-7240.96
-171,54,9.67404,9.64224,-535.079,-7241.63
-170,54,9.69787,9.69079,-535.557,-7242.32
-169,54,9.71904,9.72819,-536.044,-7243.04
-168,54,9.73762,9.75407,-536.54,-7243.77
-167,54,9.75368,9.76811,-537.044,-7244.53
-166,54,9.76727,9.77003,-537.554,-7245.3
-165,54,9.77841,9.75958,-538.069,-7246.09
-164,54,9.78709,9.73656,-538.588,-7246.89
-163,54,9.79329,9.7008,-539.11,-7247.71
-162,54,9.79699,9.65217,-539.635,-7248.54
-161,54,9.7981,9.5906,-540.16,-7249.39
-160,54,9.79657,9.51604,-540.686,-7250.25
-159,54,9.79227,9.4285,-541.21,-7251.12
-158,54,9.78509,9.32802,-541.733,-7251.99
-157,54,9.7749,9.21468,-542.253,-7252.88
-156,54,9.76154,9.08861,-542.769,-7253.77
-155,54,9.74482,8.94998,-543.281,-7254.67
-154,54,9.72457,8.799,-543.787,-7255.58
-153,54,9.70057,8.63592,-544.287,-7256.49
-152,54,9.67261,8.46103,-544.78,-7257.4
-151,54,9.64045,8.27467,-545.265,-7258.32
-150,54,9.60385,8.07721,-545.741,-7259.24
-149,54,9.56255,7.86905,-546.209,-7260.15
-148,54,9.5163,7.65066,-546.667,-7261.07
-147,54,9.46481,7.4225,-547.115,-7261.99
-146,54,9.40781,7.1851,-547.553,-7262.91
-145,54,9.34503,6.93902,-547.979,-7263.82
-144,54,9.27617,6.68484,-548.395,-7264.73
-143,54,9.20096,6.42316,-548.798,-7265.64
-142,54,9.1191,6.15465,-549.19,-7266.54
-141,54,9.03033,5.87995,-549.57,-7267.43
-140,54,8.93437,5.59978,-549.938,-7268.32
-139,54,8.83095,5.31483,-550.294,-7269.21
-138,54,8.71981,5.02584,-550.638,-7270.08
-137,54,8.60071,4.73356,-550.97,-7270.95
-136,54,8.47341,4.43874,-551.29,-7271.81
-135,54,8.33769,4.14216,-551.598,-7272.66
-134,54,8.19335,3.8446,-551.895,-7273.5
-133,54,8.04021,3.54683,-552.18,-7274.33
-132,54,7.8781,3.24963,-552.455,-7275.15
-131,54,7.70689,2.95379,-552.719,-7275.96
-130,54,7.52646,2.66007,-552.973,-7276.76
-129,54,7.33671,2.36925,-553.218,-7277.54
-128,54,7.13758,2.08207,-553.454,-7278.32
-127,54,6.92903,1.79926,-553.682,-7279.08
-126,54,6.71106,1.52156,-553.901,-7279.83
-125,54,6.48369,1.24966,-554.114,-7280.57
-124,54,6.24698,0.984225,-554.321,-7281.3
-123,54,6.00101,0.725913,-554.521,-7282.01
-122,54,5.74591,0.475339,-554.717,-7282.71
-121,54,5.48182,0.233091,-554.909,-7283.4
-120,54,5.20893,-0.000277733,-555.098,-7284.08
-119,54,4.92747,-0.224251,-555.284,-7284.74
-118,54,4.6377,-0.438349,-555.469,-7285.39
-117,54,4.3399,-0.642134,-555.653,-7286.02
-116,54,4.0344,-0.835208,-555.838,-7286.65
-115,54,3.72156,-1.01722,-556.023,-7287.26
-114,54,3.40177,-1.18785,-556.211,-7287.86
-113,54,3.07547,-1.34685,-556.401,-7288.44
-112,54,2.7431,-1.49399,-556.595,-7289.02
-111,54,2.40516,-1.62911,-556.794,-7289.58
-110,54,2.06217,-1.75208,-556.998,-7290.13
-109,54,1.71468,-1.86283,-557.209,-7290.67
-108,54,1.36328,-1.96133,-557.427,-7291.2
-107,54,1.00857,-2.04761,-557.653,-7291.72
-106,54,0.651184,-2.12175,-557.887,-7292.23
-105,54,0.291788,-2.18385,-558.132,-7292.73
-104,54,-0.0689356,-2.23409,-558.386,-7293.22
-103,54,-0.43028,-2.27268,-558.652,-7293.7
-102,54,-0.791516,-2.29989,-558.929,-7294.17
-101,54,-1.1519,-2.31602,-559.218,-7294.64
-100,54,-1.51066,-2.32143,-559.521,-7295.1
-99,54,-1.86702,-2.31652,-559.836,-7295.55
-98,54,-2.22019,-2.30171,-560.166,-7296
-97,54,-2.56936,-2.27749,-560.51,-7296.44
-96,54,-2.9137,-2.24437,-560.869,-7296.88
-95,54,-3.2524,-2.20291,-561.242,-7297.31
-94,54,-3.58463,-2.15369,-561.631,-7297.74
-93,54,-3.90955,-2.09734,-562.036,-7298.17
-92,54,-4.22632,-2.03451,-562.457,-7298.6
-91,54,-4.53411,-1.96587,-562.894,-7299.02
-90,54,-4.83208,-1.89213,-563.347,-7299.44
-89,54,-5.11942,-1.81402,-563.816,-7299.87
