Phi[deg],Theta[deg],mag(GainTotal)
-75,0,1.11527e-05
-74,0,1.11527e-05
-73,0,1.11527e-05
-72,0,1.11527e-05
-71,0,1.11527e-05
-70,0,1.11527e-05
-69,0,1.11527e-05
-68,0,1.11527e-05
-67,0,1.11527e-05
-66,0,1.11527e-05
-65,0,1.11527e-05
-64,0,1.11527e-05
-63,0,1.11527e-05
-62,0,1.11527e-05
-61,0,1.11527e-05
-60,0,1.11527e-05
-59,0,1.11527e-05
-58,0,1.11527e-05
-57,0,1.11527e-05
-56,0,1.11527e-05
-55,0,1.11527e-05
-54,0,1.11527e-05
-53,0,1.11527e-05
-52,0,1.11527e-05
-51,0,1.11527e-05
-50,0,1.11527e-05
-49,0,1.11527e-05
-48,0,1.11527e-05
-47,0,1.11527e-05
-46,0,1.11527e-05
-45,0,1.11527e-05
-44,0,1.11527e-05
-43,0,1.11527e-05
-42,0,1.11527e-05
-41,0,1.11527e-05
-40,0,1.11527e-05
-39,0,1.11527e-05
-38,0,1.11527e-05
-37,0,1.11527e-05
-36,0,1.11527e-05
-35,0,1.11527e-05
-34,0,1.11527e-05
-33,0,1.11527e-05
-32,0,1.11527e-05
-31,0,1.11527e-05
-30,0,1.11527e-05
-29,0,1.11527e-05
-28,0,1.11527e-05
-27,0,1.11527e-05
-26,0,1.11527e-05
-25,0,1.11527e-05
-24,0,1.11527e-05
-23,0,1.11527e-05
-22,0,1.11527e-05
-21,0,1.11527e-05
-20,0,1.11527e-05
-19,0,1.11527e-05
-18,0,1.11527e-05
-17,0,1.11527e-05
-16,0,1.11527e-05
-15,0,1.11527e-05
-14,0,1.11527e-05
-13,0,1.11527e-05
-12,0,1.11527e-05
-11,0,1.11527e-05
-10,0,1.11527e-05
-9,0,1.11527e-05
-8,0,1.11527e-05
-7,0,1.11527e-05
-6,0,1.11527e-05
-5,0,1.11527e-05
-4,0,1.11527e-05
-3,0,1.11527e-05
-2,0,1.11527e-05
-1,0,1.11527e-05
0,0,1.11527e-05
1,0,1.11527e-05
2,0,1.11527e-05
3,0,1.11527e-05
4,0,1.11527e-05
5,0,1.11527e-05
6,0,1.11527e-05
7,0,1.11527e-05
8,0,1.11527e-05
9,0,1.11527e-05
10,0,1.11527e-05
11,0,1.11527e-05
12,0,1.11527e-05
13,0,1.11527e-05
14,0,1.11527e-05
15,0,1.11527e-05
16,0,1.11527e-05
17,0,1.11527e-05
18,0,1.11527e-05
19,0,1.11527e-05
20,0,1.11527e-05
21,0,1.11527e-05
22,0,1.11527e-05
23,0,1.11527e-05
24,0,1.11527e-05
25,0,1.11527e-05
26,0,1.11527e-05
27,0,1.11527e-05
28,0,1.11527e-05
29,0,1.11527e-05
30,0,1.11527e-05
31,0,1.11527e-05
32,0,1.11527e-05
33,0,1.11527e-05
34,0,1.11527e-05
35,0,1.11527e-05
36,0,1.11527e-05
37,0,1.11527e-05
38,0,1.11527e-05
39,0,1.11527e-05
40,0,1.11527e-05
41,0,1.11527e-05
42,0,1.11527e-05
43,0,1.11527e-05
44,0,1.11527e-05
45,0,1.11527e-05
46,0,1.11527e-05
47,0,1.11527e-05
48,0,1.11527e-05
49,0,1.11527e-05
50,0,1.11527e-05
51,0,1.11527e-05
52,0,1.11527e-05
53,0,1.11527e-05
54,0,1.11527e-05
55,0,1.11527e-05
56,0,1.11527e-05
57,0,1.11527e-05
58,0,1.11527e-05
59,0,1.11527e-05
60,0,1.11527e-05
61,0,1.11527e-05
62,0,1.11527e-05
63,0,1.11527e-05
64,0,1.11527e-05
65,0,1.11527e-05
66,0,1.11527e-05
67,0,1.11527e-05
68,0,1.11527e-05
69,0,1.11527e-05
70,0,1.11527e-05
71,0,1.11527e-05
72,0,1.11527e-05
73,0,1.11527e-05
74,0,1.11527e-05
75,0,1.11527e-05
76,0,1.11527e-05
77,0,1.11527e-05
78,0,1.11527e-05
79,0,1.11527e-05
80,0,1.11527e-05
81,0,1.11527e-05
82,0,1.11527e-05
83,0,1.11527e-05
84,0,1.11527e-05
85,0,1.11527e-05
86,0,1.11527e-05
87,0,1.11527e-05
88,0,1.11527e-05
89,0,1.11527e-05
90,0,1.11527e-05
91,0,1.11527e-05
92,0,1.11527e-05
93,0,1.11527e-05
94,0,1.11527e-05
95,0,1.11527e-05
96,0,1.11527e-05
97,0,1.11527e-05
98,0,1.11527e-05
99,0,1.11527e-05
100,0,1.11527e-05
101,0,1.11527e-05
102,0,1.11527e-05
103,0,1.11527e-05
104,0,1.11527e-05
105,0,1.11527e-05
106,0,1.11527e-05
107,0,1.11527e-05
108,0,1.11527e-05
109,0,1.11527e-05
110,0,1.11527e-05
111,0,1.11527e-05
112,0,1.11527e-05
113,0,1.11527e-05
114,0,1.11527e-05
115,0,1.11527e-05
116,0,1.11527e-05
117,0,1.11527e-05
118,0,1.11527e-05
119,0,1.11527e-05
120,0,1.11527e-05
121,0,1.11527e-05
122,0,1.11527e-05
123,0,1.11527e-05
124,0,1.11527e-05
125,0,1.11527e-05
126,0,1.11527e-05
127,0,1.11527e-05
128,0,1.11527e-05
129,0,1.11527e-05
130,0,1.11527e-05
131,0,1.11527e-05
132,0,1.11527e-05
133,0,1.11527e-05
134,0,1.11527e-05
135,0,1.11527e-05
136,0,1.11527e-05
137,0,1.11527e-05
138,0,1.11527e-05
139,0,1.11527e-05
140,0,1.11527e-05
141,0,1.11527e-05
142,0,1.11527e-05
143,0,1.11527e-05
144,0,1.11527e-05
145,0,1.11527e-05
146,0,1.11527e-05
147,0,1.11527e-05
148,0,1.11527e-05
149,0,1.11527e-05
150,0,1.11527e-05
151,0,1.11527e-05
152,0,1.11527e-05
153,0,1.11527e-05
154,0,1.11527e-05
155,0,1.11527e-05
156,0,1.11527e-05
157,0,1.11527e-05
158,0,1.11527e-05
159,0,1.11527e-05
160,0,1.11527e-05
161,0,1.11527e-05
162,0,1.11527e-05
163,0,1.11527e-05
164,0,1.11527e-05
165,0,1.11527e-05
166,0,1.11527e-05
167,0,1.11527e-05
168,0,1.11527e-05
169,0,1.11527e-05
170,0,1.11527e-05
171,0,1.11527e-05
172,0,1.11527e-05
173,0,1.11527e-05
174,0,1.11527e-05
175,0,1.11527e-05
176,0,1.11527e-05
177,0,1.11527e-05
178,0,1.11527e-05
179,0,1.11527e-05
180,0,1.11527e-05
-180,1,0.000248603
-179,1,0.000247289
-178,1,0.000245997
-177,1,0.000244728
-176,1,0.000243482
-175,1,0.000242259
-174,1,0.00024106
-173,1,0.000239885
-172,1,0.000238734
-171,1,0.000237608
-170,1,0.000236507
-169,1,0.000235432
-168,1,0.000234382
-167,1,0.000233359
-166,1,0.000232362
-165,1,0.000231392
-164,1,0.000230449
-163,1,0.000229533
-162,1,0.000228644
-161,1,0.000227784
-160,1,0.000226951
-159,1,0.000226147
-158,1,0.000225372
-157,1,0.000224625
-156,1,0.000223908
-155,1,0.00022322
-154,1,0.000222561
-153,1,0.000221933
-152,1,0.000221334
-151,1,0.000220765
-150,1,0.000220227
-149,1,0.000219719
-148,1,0.000219242
-147,1,0.000218795
-146,1,0.00021838
-145,1,0.000217995
-144,1,0.000217642
-143,1,0.00021732
-142,1,0.00021703
-141,1,0.000216771
-140,1,0.000216543
-139,1,0.000216348
-138,1,0.000216184
-137,1,0.000216052
-136,1,0.000215952
-135,1,0.000215883
-134,1,0.000215847
-133,1,0.000215843
-132,1,0.00021587
-131,1,0.00021593
-130,1,0.000216022
-129,1,0.000216145
-128,1,0.000216301
-127,1,0.000216488
-126,1,0.000216707
-125,1,0.000216958
-124,1,0.000217241
-123,1,0.000217556
-122,1,0.000217902
-121,1,0.000218279
-120,1,0.000218688
-119,1,0.000219128
-118,1,0.000219599
-117,1,0.000220102
-116,1,0.000220635
-115,1,0.000221199
-114,1,0.000221793
-113,1,0.000222418
-112,1,0.000223073
-111,1,0.000223758
-110,1,0.000224473
-109,1,0.000225218
-108,1,0.000225991
-107,1,0.000226795
-106,1,0.000227627
-105,1,0.000228487
-104,1,0.000229376
-103,1,0.000230294
-102,1,0.000231239
-101,1,0.000232212
-100,1,0.000233212
-99,1,0.00023424
-98,1,0.000235294
-97,1,0.000236374
-96,1,0.000237481
-95,1,0.000238613
-94,1,0.000239771
-93,1,0.000240954
-92,1,0.000242162
-91,1,0.000243394
-90,1,0.00024465
-89,1,0.00024593
-88,1,0.000247233
-87,1,0.000248559
-86,1,0.000249907
-85,1,0.000251277
-84,1,0.000252669
-83,1,0.000254083
-82,1,0.000255517
-81,1,0.000256971
-80,1,0.000258445
-79,1,0.000259939
-78,1,0.000261452
-77,1,0.000262983
-76,1,0.000264533
-75,1,0.0002661
-74,1,0.000267684
-73,1,0.000269285
-72,1,0.000270902
-71,1,0.000272535
-70,1,0.000274183
-69,1,0.000275845
-68,1,0.000277522
-67,1,0.000279213
-66,1,0.000280916
-65,1,0.000282632
-64,1,0.00028436
-63,1,0.0002861
-62,1,0.000287851
-61,1,0.000289612
-60,1,0.000291383
-59,1,0.000293164
-58,1,0.000294953
-57,1,0.000296751
-56,1,0.000298556
-55,1,0.000300369
-54,1,0.000302188
-53,1,0.000304013
-52,1,0.000305844
-51,1,0.00030768
-50,1,0.00030952
-49,1,0.000311363
-48,1,0.00031321
-47,1,0.00031506
-46,1,0.000316911
-45,1,0.000318765
-44,1,0.000320619
-43,1,0.000322473
-42,1,0.000324327
-41,1,0.00032618
-40,1,0.000328032
-39,1,0.000329882
-38,1,0.00033173
-37,1,0.000333574
-36,1,0.000335414
-35,1,0.000337251
-34,1,0.000339082
-33,1,0.000340908
-32,1,0.000342728
-31,1,0.000344542
-30,1,0.000346348
-29,1,0.000348147
-28,1,0.000349937
-27,1,0.000351719
-26,1,0.000353491
-25,1,0.000355254
-24,1,0.000357006
-23,1,0.000358747
-22,1,0.000360476
-21,1,0.000362194
-20,1,0.000363898
-19,1,0.00036559
-18,1,0.000367268
-17,1,0.000368932
-16,1,0.000370581
-15,1,0.000372214
-14,1,0.000373832
-13,1,0.000375434
-12,1,0.000377019
-11,1,0.000378587
-10,1,0.000380137
-9,1,0.000381669
-8,1,0.000383183
-7,1,0.000384677
-6,1,0.000386151
-5,1,0.000387606
-4,1,0.00038904
-3,1,0.000390453
-2,1,0.000391844
-1,1,0.000393214
0,1,0.000394561
1,1,0.000395886
2,1,0.000397188
3,1,0.000398466
4,1,0.000399721
5,1,0.000400951
6,1,0.000402156
7,1,0.000403337
8,1,0.000404492
9,1,0.000405621
10,1,0.000406724
11,1,0.000407801
12,1,0.000408851
13,1,0.000409875
14,1,0.00041087
15,1,0.000411838
16,1,0.000412778
17,1,0.00041369
18,1,0.000414573
19,1,0.000415428
20,1,0.000416253
21,1,0.000417049
22,1,0.000417816
23,1,0.000418553
24,1,0.000419259
25,1,0.000419936
26,1,0.000420582
27,1,0.000421198
28,1,0.000421782
29,1,0.000422336
30,1,0.000422859
31,1,0.00042335
32,1,0.00042381
33,1,0.000424239
34,1,0.000424636
35,1,0.000425001
36,1,0.000425334
37,1,0.000425635
38,1,0.000425904
39,1,0.000426141
40,1,0.000426346
41,1,0.000426519
42,1,0.000426659
43,1,0.000426767
44,1,0.000426843
45,1,0.000426886
46,1,0.000426897
47,1,0.000426876
48,1,0.000426822
49,1,0.000426736
50,1,0.000426618
51,1,0.000426468
52,1,0.000426285
53,1,0.000426071
54,1,0.000425824
55,1,0.000425546
56,1,0.000425235
57,1,0.000424893
58,1,0.00042452
59,1,0.000424115
60,1,0.000423678
61,1,0.000423211
62,1,0.000422712
63,1,0.000422183
64,1,0.000421623
65,1,0.000421033
66,1,0.000420412
67,1,0.000419761
68,1,0.00041908
69,1,0.000418369
70,1,0.00041763
71,1,0.00041686
72,1,0.000416062
73,1,0.000415236
74,1,0.00041438
75,1,0.000413497
76,1,0.000412586
77,1,0.000411647
78,1,0.000410681
79,1,0.000409688
80,1,0.000408668
81,1,0.000407622
82,1,0.000406549
83,1,0.000405451
84,1,0.000404328
85,1,0.00040318
86,1,0.000402007
87,1,0.00040081
88,1,0.000399588
89,1,0.000398344
90,1,0.000397076
91,1,0.000395785
92,1,0.000394472
93,1,0.000393137
94,1,0.000391781
95,1,0.000390403
96,1,0.000389005
97,1,0.000387586
98,1,0.000386148
99,1,0.00038469
100,1,0.000383213
101,1,0.000381718
102,1,0.000380204
103,1,0.000378673
104,1,0.000377125
105,1,0.00037556
106,1,0.000373979
107,1,0.000372383
108,1,0.000370771
109,1,0.000369144
110,1,0.000367503
111,1,0.000365849
112,1,0.000364181
113,1,0.0003625
114,1,0.000360807
115,1,0.000359103
116,1,0.000357387
117,1,0.00035566
118,1,0.000353924
119,1,0.000352177
120,1,0.000350422
121,1,0.000348658
122,1,0.000346886
123,1,0.000345106
124,1,0.000343319
125,1,0.000341526
