"dL [mm]","R_wire [mm]","Freq [GHz]","re(Z(1,1)) []","im(Z(1,1)) []"
4.8,0.1,23.6833333333333,40.4226543234952,-69.0799512083223
4.8,0.1,23.7,40.5131041719063,-68.7942136972618
4.8,0.1,23.7166666666667,40.6037550023988,-68.5086126236031
4.8,0.1,23.7333333333333,40.6946072430382,-68.2231476029462
4.8,0.1,23.75,40.7856613228968,-67.9378182527824
4.8,0.1,23.7666666666667,40.876917672055,-67.6526241924935
4.8,0.1,23.7833333333333,40.9683767216036,-67.3675650433512
4.8,0.1,23.8,41.0600389036463,-67.0826404285146
4.8,0.1,23.8166666666667,41.1519046513015,-66.7978499730303
4.8,0.1,23.8333333333333,41.243974398704,-66.5131933038309
4.8,0.1,23.85,41.3362485810083,-66.2286700497338
4.8,0.1,23.8666666666667,41.4287276343894,-65.9442798414403
4.8,0.1,23.8833333333333,41.521411996046,-65.660022311535
4.8,0.1,23.9,41.6143021042022,-65.3758970944839
4.8,0.1,23.9166666666667,41.7073983981096,-65.0919038266345
4.8,0.1,23.9333333333333,41.8007013180495,-64.8080421462144
4.8,0.1,23.95,41.8942113053355,-64.5243116933305
4.8,0.1,23.9666666666667,41.9879288023152,-64.2407121099679
4.8,0.1,23.9833333333333,42.0818542523724,-63.9572430399901
4.8,0.1,24,42.1759880999298,-63.6739041291368
4.8,0.1,24.0166666666667,42.2703307904506,-63.3906950250244
4.8,0.1,24.0333333333333,42.3648827704411,-63.1076153771447
4.8,0.1,24.05,42.4596444874529,-62.8246648368642
4.8,0.1,24.0666666666667,42.5546163900849,-62.541843057424
4.8,0.1,24.0833333333333,42.6497989279859,-62.2591496939385
4.8,0.1,24.1,42.7451925518566,-61.9765844033951
4.8,0.1,24.1166666666667,42.8407977134517,-61.6941468446541
4.8,0.1,24.1333333333333,42.9366148655826,-61.4118366784476
4.8,0.1,24.15,43.0326444621196,-61.1296535673793
4.8,0.1,24.1666666666667,43.1288869579937,-60.8475971759239
4.8,0.1,24.1833333333333,43.2253428091995,-60.5656671704271
4.8,0.1,24.2,43.322012472797,-60.2838632191045
4.8,0.1,24.2166666666667,43.4188964069143,-60.0021849920422
4.8,0.1,24.2333333333333,43.5159950707498,-59.7206321611958
4.8,0.1,24.25,43.6133089245742,-59.4392044003901
4.8,0.1,24.2666666666667,43.7108384297335,-59.1579013853193
4.8,0.1,24.2833333333333,43.8085840486507,-58.8767227935465
4.8,0.1,24.3,43.9065462448283,-58.5956683045036
4.8,0.1,24.3166666666667,44.004725482851,-58.3147375994913
4.8,0.1,24.3333333333333,44.1031222283877,-58.0339303616785
4.8,0.1,24.35,44.2017369481939,-57.7532462761026
4.8,0.1,24.3666666666667,44.3005701101144,-57.4726850296696
4.8,0.1,24.3833333333333,44.3996221830851,-57.192246311154
4.8,0.1,24.4,44.4988936371362,-56.9119298111981
